Status,Standard_Family,Standard,Standard_Version,Effective_Date,Inactive_Date
Subject to Enforcement,CIP,CIP-002,CIP-002-5.1a,27-12-2016,NA
Subject to Enforcement,CIP,CIP-003,CIP-003-6,31-03-2016,NA
Subject to Enforcement,CIP,CIP-003,CIP-003-7,25-06-2018,NA
Subject to Future Enforcement,CIP,CIP-003,CIP-003-8,01-04-2020,NA
Subject to Future Enforcement,CIP,CIP-003,CIP-003-8,31-07-2019,NA
Subject to Enforcement,CIP,CIP-004,CIP-004-6,01-07-2016,NA
Subject to Enforcement,CIP,CIP-004,CIP-004-6,31-03-2016,NA
Subject to Enforcement,CIP,CIP-004,CIP-004-6,NA,NA
Subject to Future Enforcement,CIP,CIP-005,CIP-005-6,01-07-2020,NA
Subject to Enforcement,CIP,CIP-006,CIP-006-6,01-07-2016,NA
Subject to Enforcement,CIP,CIP-006,CIP-006-6,NA,NA
Subject to Enforcement,CIP,CIP-007,CIP-007-6,01-07-2016,NA
Subject to Enforcement,CIP,CIP-007,CIP-007-6,31-03-2016,NA
Subject to Enforcement,CIP,CIP-007,CIP-007-6,NA,NA
Subject to Enforcement,CIP,CIP-008,CIP-008-5,03-02-2014,NA
Subject to Future Enforcement,CIP,CIP-008,CIP-008-6,01-01-2021,NA
Subject to Future Enforcement,CIP,CIP-008,CIP-008-6,20-06-2019,NA
Subject to Enforcement,CIP,CIP-009,CIP-009-6,01-07-2016,NA
Subject to Enforcement,CIP,CIP-009,CIP-009-6,NA,NA
Subject to Enforcement,CIP,CIP-009,CIP-009-6,31-03-2016,NA
Subject to Enforcement,CIP,CIP-010,CIP-010-2,31-03-2016,NA
Subject to Future Enforcement,CIP,CIP-010,CIP-010-3,01-07-2020,NA
Subject to Future Enforcement,CIP,CIP-010,CIP-010-3,26-12-2018,NA
Subject to Enforcement,CIP,CIP-011,CIP-011-2,01-07-2016,NA
Subject to Future Enforcement,CIP,CIP-013,CIP-013-1,01-07-2020,NA
Subject to Future Enforcement,CIP,CIP-013,CIP-013-1,26-12-2018,NA
Subject to Enforcement,CIP,CIP-014,CIP-014-2,02-10-2015,NA
