Status,Standard_Family,Standard,Standard_Version,Effective_Date,Inactive_Date
Inactive,CIP,CIP-001,CIP-001-0,,01-01-2007
Inactive,CIP,CIP-001,CIP-001-1,2007,01-02-2011
Inactive,CIP,CIP-001,CIP-001-1a,2011,30-09-2011
Inactive,CIP,CIP-001,CIP-001-2a,2011,31-12-2013
Inactive,CIP,CIP-002,CIP-002-1,2008,31-03-2010
Inactive,CIP,CIP-002,CIP-002-2,2010,30-09-2010
Inactive,CIP,CIP-002,CIP-002-3,2010,30-06-2016
Inactive,CIP,CIP-002,CIP-002-3(i),,13-11-2014
Inactive,CIP,CIP-002,CIP-002-3(i)b,,13-11-2014
Inactive,CIP,CIP-002,CIP-002-3a,,21-03-2013
Inactive,CIP,CIP-002,CIP-002-3b,,30-06-2016
Inactive,CIP,CIP-002,CIP-002-4,2014,03-02-2014
Inactive,CIP,CIP-002,CIP-002-4a,,21-03-2013
Inactive,CIP,CIP-002,CIP-002-5,,03-02-2014
Inactive,CIP,CIP-002,CIP-002-5.1,2016,26-12-2016
Subject to Enforcement,CIP,CIP-002,CIP-002-5.1a,2016,
Inactive,CIP,CIP-003,CIP-003-1,2008,31-03-2010
Inactive,CIP,CIP-003,CIP-003-2,2010,30-09-2010
Inactive,CIP,CIP-003,CIP-003-3,2010,30-06-2016
Inactive,CIP,CIP-003,CIP-003-3,2010,21-01-2014
Inactive,CIP,CIP-003,CIP-003-3a,,30-06-2016
Inactive,CIP,CIP-003,CIP-003-4,2014,03-02-2014
Inactive,CIP,CIP-003,CIP-003-4,2014,21-01-2014
Inactive,CIP,CIP-003,CIP-003-4a,,03-02-2014
Inactive,CIP,CIP-003,CIP-003-5,,30-06-2016
Inactive,CIP,CIP-003,CIP-003-5,2014,
Inactive,CIP,CIP-003,CIP-003-5,2017,30-06-2016
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2016,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2016,
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2017,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2016,04/01/2017
Subject to Enforcement,CIP,CIP-003,CIP-003-6,,31-12-2019
