Status,Standard_Family,Standard,Standard_Version,Effective_Date,Inactive_Date
Inactive,CIP,CIP-001,CIP-001-0,,1/1/2007
Inactive,CIP,CIP-001,CIP-001-1,2007,1/2/2011
Inactive,CIP,CIP-001,CIP-001-1a,2011,30-09-2011
Inactive,CIP,CIP-001,CIP-001-2a,2011,31-12-2013
Inactive,CIP,CIP-002,CIP-002-1,2008,31-03-2010
Inactive,CIP,CIP-002,CIP-002-2,2010,30-09-2010
Inactive,CIP,CIP-002,CIP-002-3,2010,30-06-2016
Inactive,CIP,CIP-002,CIP-002-3(i),,13-11-2014
Inactive,CIP,CIP-002,CIP-002-3(i)b,,13-11-2014
Inactive,CIP,CIP-002,CIP-002-3a,,21-03-2013
Inactive,CIP,CIP-002,CIP-002-3b,,30-06-2016
Inactive,CIP,CIP-002,CIP-002-4,2014,3/2/2014
Inactive,CIP,CIP-002,CIP-002-4a,,21-03-2013
Inactive,CIP,CIP-002,CIP-002-5,,3/2/2014
Inactive,CIP,CIP-002,CIP-002-5.1,2016,26-12-2016
Subject to Enforcement,CIP,CIP-002,CIP-002-5.1a,2016,
Inactive,CIP,CIP-003,CIP-003-1,2008,31-03-2010
Inactive,CIP,CIP-003,CIP-003-2,2010,30-09-2010
Inactive,CIP,CIP-003,CIP-003-3,2010,30-06-2016
Inactive,CIP,CIP-003,CIP-003-3,2010,21-01-2014
Inactive,CIP,CIP-003,CIP-003-3a,,30-06-2016
Inactive,CIP,CIP-003,CIP-003-4,2014,3/2/2014
Inactive,CIP,CIP-003,CIP-003-4,2014,21-01-2014
Inactive,CIP,CIP-003,CIP-003-4a,,3/2/2014
Inactive,CIP,CIP-003,CIP-003-5,,30-06-2016
Inactive,CIP,CIP-003,CIP-003-5,2014,
Inactive,CIP,CIP-003,CIP-003-5,2017,30-06-2016
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2016,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2016,
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2017,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-6,2016,4/1/2017
Subject to Enforcement,CIP,CIP-003,CIP-003-6,,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-7,2020,31-03-2020
Subject to Enforcement,CIP,CIP-003,CIP-003-7,2018,
Subject to Future Enforcement,CIP,CIP-003,CIP-003-8,2020,
Subject to Future Enforcement,CIP,CIP-003,CIP-003-8,2019,
Inactive,CIP,CIP-004,CIP-004-1,2008,31-03-2010
Inactive,CIP,CIP-004,CIP-004-1,2008,
Inactive,CIP,CIP-004,CIP-004-2,2010,30-09-2010
Inactive,CIP,CIP-004,CIP-004-2,2009,
Inactive,CIP,CIP-004,CIP-004-3,2010,11/12/2012
Inactive,CIP,CIP-004,CIP-004-3,2010,
Inactive,CIP,CIP-004,CIP-004-3a,2012,30-06-2016
Inactive,CIP,CIP-004,CIP-004-3a,2012,
Inactive,CIP,CIP-004,CIP-004-4,,2012
Inactive,CIP,CIP-004,CIP-004-4,2012,
Inactive,CIP,CIP-004,CIP-004-4a,2014,3/2/2014
Inactive,CIP,CIP-004,CIP-004-4a,2012,
Inactive,CIP,CIP-004,CIP-004-5,,2013
Inactive,CIP,CIP-004,CIP-004-5.1,,2016
Inactive,CIP,CIP-004,CIP-004-5.1,2014,
Subject to Enforcement,CIP,CIP-004,CIP-004-6,2016,
Subject to Enforcement,CIP,CIP-004,CIP-004-6,2016,
Subject to Enforcement,CIP,CIP-004,CIP-004-6,,
Inactive,CIP,CIP-005,CIP-005-1,2008,2010
Inactive,CIP,CIP-005,CIP-005-1,2008,
Inactive,CIP,CIP-005,CIP-005-1a,,2011
Inactive,CIP,CIP-005,CIP-005-1a,,
Inactive,CIP,CIP-005,CIP-005-2,2010,30-09-2010
Inactive,CIP,CIP-005,CIP-005-2,,2009
Inactive,CIP,CIP-005,CIP-005-2,2009,
Inactive,CIP,CIP-005,CIP-005-2a,,2011
Inactive,CIP,CIP-005,CIP-005-2a,,2010
Inactive,CIP,CIP-005,CIP-005-2a,2011,
Inactive,CIP,CIP-005,CIP-005-3,2010,1/2/2011
Inactive,CIP,CIP-005,CIP-005-3,,12/16/2009
Inactive,CIP,CIP-005,CIP-005-3,2010,
Inactive,CIP,CIP-005,CIP-005-3a,2011,30-06-2016
Inactive,CIP,CIP-005,CIP-005-3a,,2/16/2010
Inactive,CIP,CIP-005,CIP-005-3a,2011,21-01-2014
Inactive,CIP,CIP-005,CIP-005-3a,2011,
Inactive,CIP,CIP-005,CIP-005-4a,2014,3/2/2014
Inactive,CIP,CIP-005,CIP-005-4a,,1/24/2011
Inactive,CIP,CIP-005,CIP-005-4a,2014,21-01-2014
Inactive,CIP,CIP-005,CIP-005-4a,2012,
Subject to Enforcement,CIP,CIP-005,CIP-005-5,2016,30-06-2020
Subject to Future Enforcement,CIP,CIP-005,,2020,
Inactive,CIP,CIP-006,CIP-006-1,2008,31-03-2010
Inactive,CIP,CIP-006,CIP-006-1a,,22-12-2009
Inactive,CIP,CIP-006,CIP-006-1b,,22-12-2009
Inactive,CIP,CIP-006,CIP-006-1c,,20-04-2010
Inactive,CIP,CIP-006,CIP-006-2,2010,14-07-2010
Inactive,CIP,CIP-006,CIP-006-2,,5/6/2009
Inactive,CIP,CIP-006,CIP-006-2a,2010,30-09-2010
Inactive,CIP,CIP-006,CIP-006-2a,,5/6/2009
Inactive,CIP,CIP-006,CIP-006-2b,,14-07-2010
Inactive,CIP,CIP-006,CIP-006-2b,,8/5/2009
Inactive,CIP,CIP-006,CIP-006-2c,,30-09-2010
Inactive,CIP,CIP-006,CIP-006-2c,,2/16/2010
Inactive,CIP,CIP-006,CIP-006-3,,30-09-2010
Inactive,CIP,CIP-006,CIP-006-3,,12/16/2009
Inactive,CIP,CIP-006,CIP-006-3a,2010,18-05-2011
Inactive,CIP,CIP-006,CIP-006-3a,,12/16/2009
Inactive,CIP,CIP-006,CIP-006-3c,2011,30-06-2016
Inactive,CIP,CIP-006,CIP-006-3c,,2/16/2010
Inactive,CIP,CIP-006,CIP-006-3d,,21-03-2013
Inactive,CIP,CIP-006,CIP-006-3d,,2/9/2012
Inactive,CIP,CIP-006,CIP-006-4c,2014,3/2/2014
Inactive,CIP,CIP-006,CIP-006-4c,,1/24/2011
Inactive,CIP,CIP-006,CIP-006-4d,,21-03-2013
Inactive,CIP,CIP-006,CIP-006-4d,,2/9/2012
Inactive,CIP,CIP-006,CIP-006-5,,30-06-2016
Subject to Enforcement,CIP,CIP-006,,2016,
Subject to Enforcement,CIP,CIP-006,,,
Inactive,CIP,CIP-007,CIP-007-1,2008,31-03-2010
Inactive,CIP,CIP-007,CIP-007-1,2008,
Inactive,CIP,CIP-007,CIP-007-2,,2010
Inactive,CIP,CIP-007,CIP-007-2,2009,
Inactive,CIP,CIP-007,CIP-007-2a,2010,30-09-2010
Inactive,CIP,CIP-007,CIP-007-2a,2010,
Pending Regulatory Filing,CIP,CIP-007,CIP-007-3,,
Inactive,CIP,CIP-007,CIP-007-3a,2010,30-06-2016
Inactive,CIP,CIP-007,CIP-007-3a,2010,21-01-2014
Inactive,CIP,CIP-007,CIP-007-3a,2010,
Inactive,CIP,CIP-007,CIP-007-3b,,2016
Inactive,CIP,CIP-007,CIP-007-3b,,
Inactive,CIP,CIP-007,CIP-007-4a,2014,3/2/2014
Inactive,CIP,CIP-007,CIP-007-4a,2014,21-01-2014
Inactive,CIP,CIP-007,CIP-007-4a,2012,
Inactive,CIP,CIP-007,CIP-007-4b,2014,
Inactive,CIP,CIP-007,CIP-007-4b,,
Inactive,CIP,CIP-007,CIP-007-5,2016,
Inactive,CIP,CIP-007,CIP-007-5,2014,
Subject to Enforcement,CIP,CIP-007,2016,,
Subject to Enforcement,CIP,CIP-007,2016,,
Subject to Enforcement,CIP,CIP-007,,,
Inactive,CIP,CIP-008,CIP-008-1,2008,31-03-2010
Inactive,CIP,CIP-008,CIP-008-2,2010,30-09-2010
Inactive,CIP,CIP-008,CIP-008-3,2010,30-06-2016
Inactive,CIP,CIP-008,CIP-008-4,2014,3/2/2014
Subject to Enforcement,CIP,CIP-008,CIP-008-5,2016,31-12-2020
Subject to Enforcement,CIP,CIP-008,CIP-008-5,2020,
Subject to Enforcement,CIP,CIP-008,CIP-008-5,2014,
Subject to Future Enforcement,CIP,CIP-008,2021,,
Subject to Future Enforcement,CIP,CIP-008,20-06-2019,,
Inactive,CIP,CIP-009,CIP-009-1,2008,31-03-2010
Inactive,CIP,CIP-009,CIP-009-2,2010,30-09-2010
Inactive,CIP,CIP-009,CIP-009-3,2010,30-06-2016
Inactive,CIP,CIP-009,CIP-009-4,2014,3/2/2014
Inactive,CIP,CIP-009,CIP-009-5,2016,
Inactive,CIP,CIP-009,CIP-009-5,2014,
Subject to Enforcement,CIP,CIP-009,2016,,
Subject to Enforcement,CIP,CIP-009,,,
Subject to Enforcement,CIP,CIP-009,2016,,
Inactive,CIP,CIP-010,CIP-010-1,2016,
Inactive,CIP,CIP-010,CIP-010-1,2014,
Subject to Enforcement,CIP,CIP-010,CIP-010-2,2016,30-06-2020
Subject to Enforcement,CIP,CIP-010,CIP-010-2,2016,
Subject to Enforcement,CIP,CIP-010,CIP-010-2,2020,
Subject to Future Enforcement,CIP,CIP-010,2020,,
Subject to Future Enforcement,CIP,CIP-010,2018,,
Inactive,CIP,CIP-011,CIP-011-1,2016,
Subject to Enforcement,CIP,CIP-011,2016,,
Filed and Pending Regulatory Approval,CIP,CIP-012,,,
Subject to Future Enforcement,CIP,CIP-013,2020,,
Subject to Future Enforcement,CIP,CIP-013,2018,,
Inactive,CIP,CIP-014,CIP-014-1,2015,1/10/2015
Subject to Enforcement,CIP,CIP-014,2015,,
