Status,Standard_Family,Standard,Standard_Version,Effective_Date,Inactive_Date
Inactive,CIP,CIP-001,CIP-001-0,,1/1/2007
Inactive,CIP,CIP-001,CIP-001-1,18-06-2007,1/2/2011
Inactive,CIP,CIP-001,CIP-001-1a,2/2/2011,30-09-2011
Inactive,CIP,CIP-001,CIP-001-2a,1/10/2011,31-12-2013
Inactive,CIP,CIP-002,CIP-002-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-002,CIP-002-2,1/4/2010,30-09-2010
Inactive,CIP,CIP-002,CIP-002-3,1/10/2010,30-06-2016
Inactive,CIP,CIP-002,CIP-002-3(i),,13-11-2014
Inactive,CIP,CIP-002,CIP-002-3(i)b,,13-11-2014
Inactive,CIP,CIP-002,CIP-002-3a,,21-03-2013
Inactive,CIP,CIP-002,CIP-002-3b,,30-06-2016
Inactive,CIP,CIP-002,CIP-002-4,1/10/2014,3/2/2014
Inactive,CIP,CIP-002,CIP-002-4a,,21-03-2013
Inactive,CIP,CIP-002,CIP-002-5,,3/2/2014
Inactive,CIP,CIP-002,CIP-002-5.1,1/7/2016,26-12-2016
Subject to Enforcement,CIP,CIP-002,CIP-002-5.1a,27-12-2016, 
Inactive,CIP,CIP-003,CIP-003-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-003,CIP-003-2,1/4/2010,30-09-2010
Inactive,CIP,CIP-003,CIP-003-3,1/10/2010,30-06-2016
Inactive,CIP,CIP-003,CIP-003-3,1/10/2010,21-01-2014
Inactive,CIP,CIP-003,CIP-003-3a,,30-06-2016
Inactive,CIP,CIP-003,CIP-003-4,1/10/2014,3/2/2014
Inactive,CIP,CIP-003,CIP-003-4,1/10/2014,21-01-2014
Inactive,CIP,CIP-003,CIP-003-4a,,3/2/2014
Inactive,CIP,CIP-003,CIP-003-5,,30-06-2016
Inactive,CIP,CIP-003,CIP-003-5,3/2/2014, 
Inactive,CIP,CIP-003,CIP-003-5,1/4/2017,30-06-2016
Subject to Enforcement,CIP,CIP-003,CIP-003-6,1/7/2016,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-6,31-03-2016, 
Subject to Enforcement,CIP,CIP-003,CIP-003-6,1/4/2017,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-6,31-03-2016,4/1/2017
Subject to Enforcement,CIP,CIP-003,CIP-003-6,,31-12-2019
Subject to Enforcement,CIP,CIP-003,CIP-003-7,1/1/2020,31-03-2020
Subject to Enforcement,CIP,CIP-003,CIP-003-7,25-06-2018, 
Subject to Future Enforcement,CIP,CIP-003,CIP-003-8,1/4/2020, 
Subject to Future Enforcement,CIP,CIP-003,CIP-003-8,31-07-2019, 
Inactive,CIP,CIP-004,CIP-004-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-004,CIP-004-1,7/4/2008, 
Inactive,CIP,CIP-004,CIP-004-2,1/4/2010,30-09-2010
Inactive,CIP,CIP-004,CIP-004-2,30-09-2009, 
Inactive,CIP,CIP-004,CIP-004-3,1/10/2010,11/12/2012
Inactive,CIP,CIP-004,CIP-004-3,31-03-2010, 
Inactive,CIP,CIP-004,CIP-004-3a,12/12/2012,30-06-2016
Inactive,CIP,CIP-004,CIP-004-3a,12/12/2012, 
Inactive,CIP,CIP-004,CIP-004-4,,11/12/2012
Inactive,CIP,CIP-004,CIP-004-4,25-06-2012, 
Inactive,CIP,CIP-004,CIP-004-4a,1/10/2014,3/2/2014
Inactive,CIP,CIP-004,CIP-004-4a,12/12/2012, 
Inactive,CIP,CIP-004,CIP-004-5,,30-09-2013
Inactive,CIP,CIP-004,CIP-004-5.1,,30-06-2016
Inactive,CIP,CIP-004,CIP-004-5.1,3/2/2014, 
Subject to Enforcement,CIP,CIP-004,CIP-004-6,1/7/2016, 
Subject to Enforcement,CIP,CIP-004,CIP-004-6,31-03-2016, 
Subject to Enforcement,CIP,CIP-004,CIP-004-6,, 
Inactive,CIP,CIP-005,CIP-005-1,1/7/2008,31-03-2010
Inactive,CIP,CIP-005,CIP-005-1,7/4/2008, 
Inactive,CIP,CIP-005,CIP-005-1a,,1/2/2011
Inactive,CIP,CIP-005,CIP-005-1a,, 
Inactive,CIP,CIP-005,CIP-005-2,1/4/2010,30-09-2010
