,Generator,Fuel Type,mean,pct
0,BECK2,HYDRO,1279.3,0.00255214867857031
1,BECK2,HYDRO,1267.2,0.0025280096970877017
2,BECK2,HYDRO,1264.1,0.002521825329931
3,BECK2,HYDRO,1249.4,0.0024924994598653524
4,BECK2,HYDRO,1248.9,0.002491501981291691
5,BECK2,HYDRO,1246.2,0.002486115596993919
6,BECK2,HYDRO,1244.3,0.002482325178414005
7,BECK2,HYDRO,1239.6,0.0024729488798215867
8,BECK2,HYDRO,1229.4,0.0024526003169188927
9,BECK2,HYDRO,1223.5,0.0024408300697496867
10,BECK2,HYDRO,1221.7,0.0024372391468845053
11,BECK2,HYDRO,1220.2,0.002434246711163521
12,BECK2,HYDRO,1205.2,0.002404322353953676
13,BECK2,HYDRO,1200.9,0.002395744038220187
14,BECK2,HYDRO,1196.9,0.0023877642096308952
15,BECK2,HYDRO,1195.7,0.0023853702610541075
16,BECK2,HYDRO,1195.0,0.0023839737910509814
17,BECK2,HYDRO,1181.4,0.0023568423738473884
18,BECK2,HYDRO,1152.8,0.0022997865994339507
19,BECK2,HYDRO,1148.5,0.002291208283700462
20,BECK2,HYDRO,1105.0,0.0022044276477919114
21,BECK2,HYDRO,1104.8,0.002204028656362447
22,BECK2,HYDRO,1083.2,0.0021609375819802703
23,BECK2,HYDRO,1044.9,0.0020845307232377997
24,BECK2,HYDRO,1040.9,0.0020765508946485075
25,BECK2,HYDRO,1026.7,0.002048222503156521
26,BECK2,HYDRO,1021.6,0.0020380482217051735
27,BECK2,HYDRO,986.6,0.0019682247215488686
28,SAUNDERS,HYDRO,954.6,0.001904386092834533
29,SAUNDERS,HYDRO,925.8,0.0018469313269916304
30,BECK2,HYDRO,917.9,0.0018311711655277787
31,SAUNDERS,HYDRO,904.5,0.0018044387397536507
32,SAUNDERS,HYDRO,902.2,0.0017998503383148078
33,SAUNDERS,HYDRO,900.8,0.0017970573983085555
34,SAUNDERS,HYDRO,900.1,0.0017956609283054294
35,SAUNDERS,HYDRO,896.3,0.001788080091145602
36,SAUNDERS,HYDRO,896.2,0.00178788059543087
37,DARLINGTON-G4,NUCLEAR,893.2,0.0017818957239889009
38,DARLINGTON-G4,NUCLEAR,892.4,0.0017802997582710423
39,DARLINGTON-G4,NUCLEAR,892.1,0.0017797012711268454
40,DARLINGTON-G4,NUCLEAR,891.9,0.0017793022796973809
41,DARLINGTON-G4,NUCLEAR,891.6,0.001778703792553184
42,DARLINGTON-G4,NUCLEAR,891.1,0.0017777063139795225
43,DARLINGTON-G4,NUCLEAR,891.0,0.0017775068182647902
44,DARLINGTON-G4,NUCLEAR,890.8,0.0017771078268353255
45,DARLINGTON-G4,NUCLEAR,890.6,0.0017767088354058611
46,DARLINGTON-G4,NUCLEAR,890.6,0.0017767088354058611
47,DARLINGTON-G4,NUCLEAR,890.3,0.001776110348261664
48,DARLINGTON-G4,NUCLEAR,890.1,0.0017757113568321996
49,DARLINGTON-G4,NUCLEAR,889.9,0.0017753123654027348
50,DARLINGTON-G4,NUCLEAR,889.6,0.001774713878258538
51,DARLINGTON-G4,NUCLEAR,889.3,0.001774115391114341
52,DARLINGTON-G4,NUCLEAR,889.1,0.0017737163996848766
53,DARLINGTON-G4,NUCLEAR,889.1,0.0017737163996848766
54,SAUNDERS,HYDRO,889.0,0.0017735169039701441
55,DARLINGTON-G4,NUCLEAR,889.0,0.0017735169039701441
56,DARLINGTON-G4,NUCLEAR,889.0,0.0017735169039701441
57,DARLINGTON-G4,NUCLEAR,889.0,0.0017735169039701441
58,DARLINGTON-G4,NUCLEAR,888.9,0.0017733174082554118
59,DARLINGTON-G4,NUCLEAR,888.8,0.0017731179125406796
60,DARLINGTON-G4,NUCLEAR,888.7,0.0017729184168259473
61,DARLINGTON-G4,NUCLEAR,888.7,0.0017729184168259473
62,DARLINGTON-G4,NUCLEAR,888.0,0.0017715219468228212
63,DARLINGTON-G4,NUCLEAR,887.9,0.001771322451108089
64,DARLINGTON-G4,NUCLEAR,887.4,0.0017703249725344273
65,DARLINGTON-G4,NUCLEAR,887.3,0.001770125476819695
66,DARLINGTON-G4,NUCLEAR,886.8,0.0017691279982460335
67,DARLINGTON-G4,NUCLEAR,886.7,0.0017689285025313014
68,SAUNDERS,HYDRO,886.5,0.0017685295111018367
69,DARLINGTON-G3,NUCLEAR,886.3,0.0017681305196723721
70,DARLINGTON-G4,NUCLEAR,885.4,0.0017663350582397814
71,SAUNDERS,HYDRO,883.3,0.001762145648230403
72,DARLINGTON-G1,NUCLEAR,882.7,0.0017609486739420094
73,DARLINGTON-G3,NUCLEAR,882.4,0.0017603501867978124
74,DARLINGTON-G1,NUCLEAR,882.2,0.0017599511953683479
75,DARLINGTON-G1,NUCLEAR,881.9,0.0017593527082241508
76,DARLINGTON-G1,NUCLEAR,881.2,0.001757956238221025
77,DARLINGTON-G1,NUCLEAR,880.9,0.0017573577510768279
78,DARLINGTON-G1,NUCLEAR,880.8,0.0017571582553620956
79,DARLINGTON-G3,NUCLEAR,880.7,0.0017569587596473633
80,DARLINGTON-G1,NUCLEAR,880.6,0.001756759263932631
81,DARLINGTON-G1,NUCLEAR,880.5,0.0017565597682178988
82,DARLINGTON-G3,NUCLEAR,880.5,0.0017565597682178988
83,DARLINGTON-G1,NUCLEAR,880.4,0.0017563602725031663
84,DARLINGTON-G1,NUCLEAR,880.4,0.0017563602725031663
85,DARLINGTON-G1,NUCLEAR,880.2,0.001755961281073702
86,DARLINGTON-G3,NUCLEAR,880.2,0.001755961281073702
87,DARLINGTON-G1,NUCLEAR,880.2,0.001755961281073702
88,DARLINGTON-G3,NUCLEAR,880.1,0.0017557617853589695
89,DARLINGTON-G1,NUCLEAR,880.0,0.0017555622896442372
90,DARLINGTON-G1,NUCLEAR,880.0,0.0017555622896442372
91,DARLINGTON-G1,NUCLEAR,879.9,0.001755362793929505
92,DARLINGTON-G1,NUCLEAR,879.9,0.001755362793929505
93,DARLINGTON-G1,NUCLEAR,879.9,0.001755362793929505
94,DARLINGTON-G1,NUCLEAR,879.8,0.0017551632982147724
95,DARLINGTON-G3,NUCLEAR,879.8,0.0017551632982147724
96,DARLINGTON-G1,NUCLEAR,879.7,0.0017549638025000404
